checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
medium,12,no_credit,furniture,2969,low,one,4,female_divorced_married,none,3,agreement,25,none,rent,2,skilled,1,no,yes,2
medium,9,existing_paid,television,1206,low,seven+,4,female_divorced_married,none,4,real_estate,25,none,own,1,skilled,1,no,yes,1
medium,9,existing_paid,television,2118,low,four,2,male_single,none,2,real_estate,37,none,own,1,unskilled,2,no,yes,1
no_acc,18,critical,television,629,silver,seven+,4,male_single,none,3,agreement,32,bank,own,2,management,1,yes,yes,1
low,6,paid,education,1198,low,seven+,4,female_divorced_married,none,4,no_property,35,none,for free,1,skilled,1,no,yes,2
no_acc,21,existing_paid,old_car,2476,no_acc,seven+,4,male_single,none,4,real_estate,46,none,own,1,management,1,yes,yes,1
low,9,critical,television,1138,low,four,4,male_single,none,4,real_estate,25,none,own,2,unskilled,1,no,yes,1
medium,60,existing_paid,new_car,14027,low,seven,4,male_single,none,2,no_property,27,none,own,1,management,1,yes,yes,2
no_acc,30,critical,old_car,7596,no_acc,seven+,1,male_single,none,4,other,63,none,own,2,skilled,1,no,yes,1
no_acc,30,critical,television,3077,no_acc,seven+,3,male_single,none,2,other,40,none,own,2,skilled,2,yes,yes,1
no_acc,18,existing_paid,television,1505,low,four,4,male_single,none,2,no_property,32,none,for free,1,management,1,yes,yes,1
high,24,critical,television,3148,no_acc,four,3,male_single,none,2,other,31,none,own,2,skilled,1,yes,yes,1
medium,20,no_credit,old_car,6148,medium,seven+,3,male_married,none,4,other,31,bank,own,2,skilled,1,yes,yes,1
high,9,no_credit,television,1337,low,one,4,male_single,none,2,other,34,none,own,2,management,1,yes,yes,2
medium,6,paid,education,433,gold,one,4,female_divorced_married,none,2,agreement,24,bank,rent,1,skilled,2,no,yes,2
low,12,existing_paid,new_car,1228,low,four,4,female_divorced_married,none,2,real_estate,24,none,own,1,unskilled,1,no,yes,2
medium,9,existing_paid,television,790,silver,four,4,female_divorced_married,none,3,real_estate,66,none,own,1,unskilled,1,no,yes,1
no_acc,27,existing_paid,new_car,2570,low,four,3,female_divorced_married,none,3,real_estate,21,none,rent,1,skilled,1,no,yes,2
no_acc,6,critical,new_car,250,gold,four,2,female_divorced_married,none,2,real_estate,41,bank,own,2,unskilled,1,no,yes,1
no_acc,15,critical,television,1316,silver,four,2,male_married,none,2,agreement,47,none,own,2,unskilled,1,no,yes,1
low,18,existing_paid,television,1882,low,four,4,female_divorced_married,none,4,other,25,bank,rent,2,skilled,1,no,yes,2
medium,48,paid,business,6416,low,seven+,4,female_divorced_married,none,3,no_property,59,none,rent,1,skilled,1,no,yes,2
high,24,critical,business,1275,gold,four,2,male_divorced,none,4,real_estate,36,none,own,2,skilled,1,yes,yes,1
medium,24,delay,television,6403,low,one,1,male_single,none,2,other,33,none,own,1,skilled,1,no,yes,1
low,24,existing_paid,television,1987,low,four,2,male_single,none,4,real_estate,21,none,rent,1,unskilled,2,no,yes,2
medium,8,existing_paid,television,760,low,seven,4,female_divorced_married,guarantor,2,real_estate,44,none,own,1,unskilled,1,no,yes,1
no_acc,24,existing_paid,old_car,2603,gold,four,2,female_divorced_married,none,4,other,28,none,rent,1,skilled,1,yes,yes,1
no_acc,4,critical,new_car,3380,low,seven,1,female_divorced_married,none,1,real_estate,37,none,own,1,skilled,2,no,yes,1
medium,36,paid,domestic,3990,no_acc,one,3,female_divorced_married,none,2,no_property,29,bank,own,1,unemployed,1,no,yes,1
medium,24,existing_paid,old_car,11560,low,four,1,female_divorced_married,none,4,other,23,none,rent,2,management,1,no,yes,2
low,18,existing_paid,new_car,4380,medium,four,3,male_single,none,4,other,35,none,own,1,unskilled,2,yes,yes,1
no_acc,6,critical,new_car,6761,low,seven,1,male_single,none,3,no_property,45,none,own,2,management,2,yes,yes,1
medium,30,no_credit,business,4280,medium,four,4,female_divorced_married,none,4,other,26,none,rent,2,unskilled,1,no,yes,2
low,24,paid,new_car,2325,medium,seven,2,male_single,none,3,other,32,bank,own,1,skilled,1,no,yes,1
medium,10,paid,television,1048,low,four,4,male_single,none,4,real_estate,23,stores,own,1,unskilled,1,no,yes,1
no_acc,21,existing_paid,television,3160,no_acc,seven+,4,male_single,none,3,agreement,41,none,own,1,skilled,1,yes,yes,1
low,24,paid,furniture,2483,silver,four,4,male_single,none,4,real_estate,22,stores,own,1,skilled,1,yes,yes,1
low,39,critical,furniture,14179,no_acc,seven,4,male_single,none,4,agreement,30,none,own,2,management,1,yes,yes,1
low,13,critical,business,1797,low,one,3,male_single,none,1,agreement,28,bank,own,2,unskilled,1,no,yes,1
low,15,existing_paid,new_car,2511,low,unemployed,1,female_divorced_married,none,4,other,23,none,rent,1,skilled,1,no,yes,1
low,12,existing_paid,new_car,1274,low,one,3,female_divorced_married,none,1,real_estate,37,none,own,1,unskilled,1,no,yes,2
no_acc,21,existing_paid,old_car,5248,no_acc,four,1,male_single,none,3,other,26,none,own,1,skilled,1,no,yes,1
no_acc,15,existing_paid,old_car,3029,low,seven,2,male_single,none,2,other,33,none,own,1,skilled,1,no,yes,1
low,6,existing_paid,furniture,428,low,seven+,2,female_divorced_married,none,1,agreement,49,bank,own,1,skilled,1,yes,yes,1
low,18,existing_paid,new_car,976,low,one,1,female_divorced_married,none,2,other,23,none,own,1,unskilled,1,no,yes,2
medium,12,existing_paid,business,841,medium,seven,2,female_divorced_married,none,4,real_estate,23,none,rent,1,unskilled,1,no,yes,1
no_acc,30,critical,television,5771,low,seven,4,female_divorced_married,none,2,other,25,none,own,2,skilled,1,no,yes,1
no_acc,12,delay,repairs,1555,gold,seven+,4,male_single,none,4,no_property,55,none,for free,2,skilled,2,no,yes,2
low,24,existing_paid,new_car,1285,no_acc,seven,4,female_divorced_married,none,4,no_property,32,none,rent,1,skilled,1,no,yes,2
high,6,critical,new_car,1299,low,four,1,male_single,none,1,real_estate,74,none,own,3,unemployed,2,no,no,1
high,15,critical,television,1271,no_acc,four,3,male_single,none,4,no_property,39,none,for free,2,skilled,1,yes,yes,2
no_acc,24,existing_paid,new_car,1393,low,four,2,male_single,guarantor,2,real_estate,31,none,own,1,skilled,1,yes,yes,1
low,12,critical,new_car,691,low,seven+,4,male_single,none,3,agreement,35,none,own,2,skilled,1,no,yes,2
no_acc,15,critical,new_car,5045,no_acc,seven+,1,female_divorced_married,none,4,other,59,none,own,1,skilled,1,yes,yes,1
low,18,critical,furniture,2124,low,four,4,female_divorced_married,none,4,real_estate,24,none,rent,2,skilled,1,no,yes,2
low,12,existing_paid,television,2214,low,four,4,male_single,none,3,agreement,24,none,own,1,unskilled,1,no,yes,1
no_acc,21,critical,new_car,12680,no_acc,seven+,4,male_single,none,4,no_property,30,none,for free,1,management,1,yes,yes,2
no_acc,24,critical,new_car,2463,medium,seven,4,male_married,none,3,agreement,27,none,own,2,skilled,1,yes,yes,1
medium,12,existing_paid,television,1155,low,seven+,3,male_married,guarantor,3,real_estate,40,bank,own,2,unskilled,1,no,yes,1
low,30,existing_paid,furniture,3108,low,one,2,male_divorced,none,4,agreement,31,none,own,1,unskilled,1,no,yes,2
no_acc,10,existing_paid,old_car,2901,no_acc,one,1,female_divorced_married,none,4,real_estate,31,none,rent,1,skilled,1,no,yes,1
medium,12,critical,furniture,3617,low,seven+,1,male_single,none,4,other,28,none,rent,3,skilled,1,yes,yes,1
no_acc,12,critical,television,1655,low,seven+,2,male_single,none,4,real_estate,63,none,own,2,unskilled,1,yes,yes,1
low,24,existing_paid,old_car,2812,no_acc,seven+,2,female_divorced_married,none,4,real_estate,26,none,rent,1,skilled,1,no,yes,1
low,36,critical,education,8065,low,four,3,female_divorced_married,none,2,no_property,25,none,own,2,management,1,yes,yes,2
no_acc,21,critical,old_car,3275,low,seven+,1,male_single,none,4,other,36,none,own,1,management,1,yes,yes,1
no_acc,24,critical,television,2223,medium,seven+,4,male_single,none,4,agreement,52,bank,own,2,skilled,1,no,yes,1
high,12,critical,new_car,1480,silver,unemployed,2,male_single,none,4,no_property,66,bank,for free,3,unemployed,1,no,yes,1
low,24,existing_paid,new_car,1371,no_acc,four,4,female_divorced_married,none,4,real_estate,25,none,rent,1,skilled,1,no,yes,2
no_acc,36,critical,new_car,3535,low,seven,4,male_single,none,4,other,37,none,own,2,skilled,1,yes,yes,1
low,18,existing_paid,television,3509,low,seven,4,female_divorced_married,guarantor,1,real_estate,25,none,own,1,skilled,1,no,yes,1
no_acc,36,critical,old_car,5711,gold,seven+,4,male_single,none,2,other,38,none,own,2,management,1,yes,yes,1
medium,18,existing_paid,repairs,3872,low,unemployed,2,female_divorced_married,none,4,other,67,none,own,1,skilled,1,yes,yes,1
medium,39,critical,television,4933,low,seven,2,male_single,guarantor,2,real_estate,25,none,own,2,skilled,1,no,yes,2
no_acc,24,critical,new_car,1940,gold,seven+,4,male_single,none,4,real_estate,60,none,own,1,skilled,1,yes,yes,1
medium,12,no_credit,retraining,1410,low,four,2,male_single,none,2,real_estate,31,none,own,1,unskilled,1,yes,yes,1
medium,12,existing_paid,new_car,836,medium,one,4,female_divorced_married,none,2,agreement,23,bank,own,1,unskilled,1,no,yes,2
medium,20,existing_paid,old_car,6468,no_acc,unemployed,1,male_divorced,none,4,real_estate,60,none,own,1,management,1,yes,yes,1
medium,18,existing_paid,business,1941,gold,four,4,male_single,none,2,agreement,35,none,own,1,unskilled,1,yes,yes,1
no_acc,22,existing_paid,television,2675,silver,seven+,3,male_single,none,4,other,40,none,own,1,skilled,1,no,yes,1
no_acc,48,critical,old_car,2751,no_acc,seven+,4,male_single,none,3,other,38,none,own,2,skilled,2,yes,yes,1
medium,48,delay,education,6224,low,seven+,4,male_single,none,4,no_property,50,none,for free,1,skilled,1,no,yes,2
low,40,critical,education,5998,low,four,4,male_single,none,3,no_property,27,bank,own,1,skilled,1,yes,yes,2
medium,21,existing_paid,business,1188,low,seven+,2,female_divorced_married,none,4,agreement,39,none,own,1,skilled,2,no,yes,2
no_acc,24,existing_paid,old_car,6313,no_acc,seven+,3,male_single,none,4,other,41,none,own,1,management,2,yes,yes,1
no_acc,6,critical,furniture,1221,no_acc,four,1,male_married,none,2,agreement,27,none,own,2,skilled,1,no,yes,1
high,24,existing_paid,furniture,2892,low,seven+,3,male_divorced,none,4,no_property,51,none,for free,1,skilled,1,no,yes,1
no_acc,24,existing_paid,furniture,3062,silver,seven+,4,male_single,none,3,no_property,32,none,rent,1,skilled,1,yes,yes,1
no_acc,9,existing_paid,furniture,2301,medium,one,2,female_divorced_married,none,4,agreement,22,none,rent,1,skilled,1,no,yes,1
low,18,existing_paid,old_car,7511,no_acc,seven+,1,male_single,none,4,agreement,51,none,for free,1,skilled,2,yes,yes,2
no_acc,12,critical,furniture,1258,low,one,2,female_divorced_married,none,4,agreement,22,none,rent,2,unskilled,1,no,yes,1
no_acc,24,delay,new_car,717,no_acc,seven+,4,male_married,none,4,other,54,none,own,2,skilled,1,yes,yes,1
medium,9,existing_paid,new_car,1549,no_acc,one,4,male_single,none,2,real_estate,35,none,own,1,unemployed,1,no,yes,1
no_acc,24,critical,education,1597,low,seven+,4,male_single,none,4,no_property,54,none,for free,2,skilled,2,no,yes,1
medium,18,critical,television,1795,low,seven+,3,female_divorced_married,guarantor,4,real_estate,48,bank,rent,2,unskilled,1,yes,yes,1
low,20,critical,furniture,4272,low,seven+,1,female_divorced_married,none,4,agreement,24,none,own,2,skilled,1,no,yes,1
no_acc,12,critical,television,976,no_acc,seven+,4,male_single,none,4,other,35,none,own,2,skilled,1,no,yes,1
medium,12,existing_paid,new_car,7472,no_acc,unemployed,1,female_divorced_married,none,2,real_estate,24,none,rent,1,unemployed,1,no,yes,1
low,36,existing_paid,new_car,9271,low,seven,2,male_single,none,1,other,24,none,own,1,skilled,1,yes,yes,2
medium,6,existing_paid,television,590,low,one,3,male_married,none,3,real_estate,26,none,own,1,unskilled,1,no,no,1
no_acc,12,critical,television,930,no_acc,seven+,4,male_single,none,4,real_estate,65,none,own,4,skilled,1,no,yes,1
medium,42,paid,old_car,9283,low,unemployed,1,male_single,none,2,no_property,55,bank,for free,1,management,1,yes,yes,1
medium,15,no_credit,new_car,1778,low,one,2,female_divorced_married,none,1,real_estate,26,none,rent,2,unemployed,1,no,yes,2
medium,8,existing_paid,business,907,low,one,3,male_married,none,2,real_estate,26,none,own,1,skilled,1,yes,yes,1
medium,6,existing_paid,television,484,low,seven,3,male_married,guarantor,3,real_estate,28,bank,own,1,unskilled,1,no,yes,1
low,36,critical,old_car,9629,low,seven,4,male_single,none,4,other,24,none,own,2,skilled,1,yes,yes,2
low,48,existing_paid,domestic,3051,low,four,3,male_single,none,4,other,54,none,own,1,skilled,1,no,yes,2
low,48,existing_paid,new_car,3931,low,seven,4,male_single,none,4,no_property,46,none,for free,1,skilled,2,no,yes,2
medium,36,delay,new_car,7432,low,four,2,female_divorced_married,none,2,agreement,54,none,rent,1,skilled,1,no,yes,1
no_acc,6,existing_paid,domestic,1338,silver,four,1,male_divorced,none,4,real_estate,62,none,own,1,skilled,1,no,yes,1
no_acc,6,critical,television,1554,low,seven,1,female_divorced_married,none,2,other,24,none,rent,2,skilled,1,yes,yes,1
low,36,existing_paid,others,15857,low,unemployed,2,male_divorced,co-applicant,3,other,43,none,own,1,management,1,no,yes,1
low,18,existing_paid,television,1345,low,four,4,male_married,none,3,real_estate,26,bank,own,1,skilled,1,no,yes,2
no_acc,12,existing_paid,new_car,1101,low,four,3,male_married,none,2,real_estate,27,none,own,2,skilled,1,yes,yes,1
high,12,existing_paid,television,3016,low,four,3,male_married,none,1,other,24,none,own,1,skilled,1,no,yes,1
low,36,existing_paid,furniture,2712,low,seven+,2,male_single,none,2,agreement,41,bank,own,1,skilled,2,no,yes,2
low,8,critical,new_car,731,low,seven+,4,male_single,none,4,real_estate,47,none,own,2,unskilled,1,no,yes,1
no_acc,18,critical,furniture,3780,low,one,3,male_divorced,none,2,other,35,none,own,2,management,1,yes,yes,1
low,21,critical,new_car,1602,low,seven+,4,male_married,none,3,other,30,none,own,2,skilled,1,yes,yes,1
low,18,critical,new_car,3966,low,seven+,1,female_divorced_married,none,4,real_estate,33,bank,rent,3,skilled,1,yes,yes,2
no_acc,18,no_credit,business,4165,low,four,2,male_single,none,2,other,36,stores,own,2,skilled,2,no,yes,2
low,36,existing_paid,old_car,8335,no_acc,seven+,3,male_single,none,4,no_property,47,none,for free,1,skilled,1,no,yes,2
medium,48,delay,business,6681,no_acc,four,4,male_single,none,4,no_property,38,none,for free,1,skilled,2,yes,yes,1
no_acc,24,delay,business,2375,silver,four,4,male_single,none,2,other,44,none,own,2,skilled,2,yes,yes,1
low,18,existing_paid,new_car,1216,low,one,4,female_divorced_married,none,3,other,23,none,rent,1,skilled,1,yes,yes,2
low,45,no_credit,business,11816,low,seven+,2,male_single,none,4,other,29,none,rent,2,skilled,1,no,yes,2
medium,24,existing_paid,television,5084,no_acc,seven+,2,female_divorced_married,none,4,other,42,none,own,1,skilled,1,yes,yes,1
high,15,existing_paid,television,2327,low,one,2,female_divorced_married,none,3,real_estate,25,none,own,1,unskilled,1,no,yes,2
low,12,no_credit,new_car,1082,low,four,4,male_single,none,4,other,48,bank,own,2,skilled,1,no,yes,2
no_acc,12,existing_paid,television,886,no_acc,four,4,female_divorced_married,none,2,other,21,none,own,1,skilled,1,no,yes,1
no_acc,4,existing_paid,furniture,601,low,one,1,female_divorced_married,none,3,real_estate,23,none,rent,1,unskilled,2,no,yes,1
low,24,critical,old_car,2957,low,seven+,4,male_single,none,4,agreement,63,none,own,2,skilled,1,yes,yes,1
no_acc,24,critical,television,2611,low,seven+,4,male_married,co-applicant,3,real_estate,46,none,own,2,skilled,1,no,yes,1
low,36,existing_paid,furniture,5179,low,seven,4,male_single,none,2,agreement,29,none,own,1,skilled,1,no,yes,2
no_acc,21,delay,old_car,2993,low,four,3,male_single,none,2,real_estate,28,stores,own,2,unskilled,1,no,yes,1
no_acc,18,existing_paid,repairs,1943,low,one,4,female_divorced_married,none,4,real_estate,23,none,own,1,skilled,1,no,yes,2
no_acc,24,paid,business,1559,low,seven,4,male_single,none,4,other,50,bank,own,1,skilled,1,yes,yes,1
no_acc,18,existing_paid,furniture,3422,low,seven+,4,male_single,none,4,agreement,47,bank,own,3,skilled,2,yes,yes,1
medium,21,existing_paid,furniture,3976,no_acc,seven,2,male_single,none,3,other,35,none,own,1,skilled,1,yes,yes,1
no_acc,18,existing_paid,new_car,6761,no_acc,four,2,male_single,none,4,other,68,none,rent,2,skilled,1,no,yes,2
no_acc,24,existing_paid,new_car,1249,low,one,4,male_married,none,2,real_estate,28,none,own,1,skilled,1,no,yes,1
low,9,existing_paid,television,1364,low,seven,3,male_single,none,4,real_estate,59,none,own,1,skilled,1,no,yes,1
low,12,existing_paid,television,709,low,seven+,4,male_single,none,4,real_estate,57,stores,own,1,unskilled,1,no,yes,2
low,20,critical,new_car,2235,low,four,4,male_married,guarantor,2,agreement,33,bank,rent,2,skilled,1,no,no,2
no_acc,24,critical,old_car,4042,no_acc,seven,3,male_single,none,4,agreement,43,none,own,2,skilled,1,yes,yes,1
no_acc,15,critical,television,1471,low,four,4,male_single,none,4,no_property,35,none,for free,2,skilled,1,yes,yes,1
low,18,paid,new_car,1442,low,seven,4,male_single,none,4,no_property,32,none,for free,2,unskilled,2,no,yes,2
no_acc,36,delay,new_car,10875,low,seven+,2,male_single,none,2,other,45,none,own,2,skilled,2,yes,yes,1
no_acc,24,existing_paid,new_car,1474,medium,one,4,male_married,none,3,real_estate,33,none,own,1,skilled,1,yes,yes,1
no_acc,10,existing_paid,retraining,894,no_acc,seven,4,female_divorced_married,none,3,agreement,40,none,own,1,skilled,1,yes,yes,1
no_acc,15,critical,furniture,3343,low,four,4,male_single,none,2,no_property,28,none,for free,1,skilled,1,yes,yes,1
low,15,existing_paid,new_car,3959,low,four,3,female_divorced_married,none,2,agreement,29,none,own,1,skilled,1,yes,yes,2
no_acc,9,existing_paid,new_car,3577,medium,four,1,male_single,guarantor,2,real_estate,26,none,rent,1,skilled,2,no,no,1
no_acc,24,critical,old_car,5804,gold,four,4,male_single,none,2,real_estate,27,none,own,2,skilled,1,no,yes,1
no_acc,18,delay,business,2169,low,four,4,male_married,none,2,other,28,none,own,1,skilled,1,yes,yes,2
low,24,existing_paid,television,2439,low,one,4,female_divorced_married,none,4,real_estate,35,none,own,1,skilled,1,yes,yes,2
no_acc,27,critical,furniture,4526,gold,one,4,male_single,none,2,real_estate,32,stores,own,2,unskilled,2,yes,yes,1
no_acc,10,existing_paid,furniture,2210,low,four,2,male_single,none,2,real_estate,25,bank,rent,1,unskilled,1,no,yes,2
no_acc,15,existing_paid,furniture,2221,silver,four,2,female_divorced_married,none,4,other,20,none,rent,1,skilled,1,no,yes,1
low,18,existing_paid,television,2389,low,one,4,female_divorced_married,none,1,other,27,stores,own,1,skilled,1,no,yes,1
no_acc,12,critical,furniture,3331,low,seven+,2,male_single,none,4,agreement,42,stores,own,1,skilled,1,no,yes,1
no_acc,36,existing_paid,business,7409,no_acc,seven+,3,male_single,none,2,agreement,37,none,own,2,skilled,1,no,yes,1
low,12,existing_paid,furniture,652,low,seven+,4,female_divorced_married,none,4,agreement,24,none,rent,1,skilled,1,no,yes,1
no_acc,36,delay,furniture,7678,silver,seven,2,female_divorced_married,none,4,other,40,none,own,2,skilled,1,yes,yes,1
high,6,critical,new_car,1343,low,seven+,1,male_single,none,4,real_estate,46,none,own,2,skilled,2,no,no,1
low,24,critical,business,1382,medium,seven,4,male_single,none,1,real_estate,26,none,own,2,skilled,1,yes,yes,1
no_acc,15,existing_paid,domestic,874,no_acc,one,4,female_divorced_married,none,1,real_estate,24,none,own,1,skilled,1,no,yes,1
low,12,existing_paid,furniture,3590,low,four,2,male_single,co-applicant,2,agreement,29,none,own,1,unskilled,2,no,yes,1
medium,11,critical,new_car,1322,gold,four,4,female_divorced_married,none,4,other,40,none,own,2,skilled,1,no,yes,1
low,18,paid,television,1940,low,one,3,male_single,co-applicant,4,no_property,36,bank,for free,1,management,1,yes,yes,1
no_acc,36,existing_paid,television,3595,low,seven+,4,male_single,none,2,other,28,none,own,1,skilled,1,no,yes,1
low,9,existing_paid,new_car,1422,low,one,3,male_single,none,2,no_property,27,none,for free,1,management,1,yes,yes,2
no_acc,30,critical,television,6742,no_acc,seven,2,male_single,none,3,agreement,36,none,own,2,skilled,1,no,yes,1
no_acc,24,existing_paid,old_car,7814,low,seven,3,male_single,none,3,other,38,none,own,1,management,1,yes,yes,1
no_acc,24,existing_paid,old_car,9277,no_acc,four,2,male_divorced,none,4,no_property,48,none,for free,1,skilled,1,yes,yes,1
medium,30,critical,new_car,2181,no_acc,seven+,4,male_single,none,4,real_estate,36,none,own,2,skilled,1,no,yes,1
no_acc,18,critical,television,1098,low,unemployed,4,female_divorced_married,none,4,other,65,none,own,2,unemployed,1,no,yes,1
medium,24,existing_paid,furniture,4057,low,seven,3,male_divorced,none,3,other,43,none,own,1,skilled,1,yes,yes,2
low,12,existing_paid,education,795,low,one,4,female_divorced_married,none,4,agreement,53,none,own,1,skilled,1,no,yes,2
medium,24,critical,business,2825,no_acc,seven,4,male_single,none,3,no_property,34,none,own,2,skilled,2,yes,yes,1
medium,48,existing_paid,business,15672,low,four,2,male_single,none,2,other,23,none,own,1,skilled,1,yes,yes,2
no_acc,36,critical,new_car,6614,low,seven+,4,male_single,none,4,other,34,none,own,2,management,1,yes,yes,1
no_acc,28,paid,old_car,7824,no_acc,one,3,male_single,guarantor,4,real_estate,40,bank,rent,2,skilled,2,yes,yes,1
low,27,critical,business,2442,low,seven+,4,male_single,none,4,other,43,stores,own,4,management,2,yes,yes,1
no_acc,15,critical,television,1829,low,seven+,4,male_single,none,4,other,46,none,own,2,skilled,1,yes,yes,1
low,12,critical,new_car,2171,low,four,4,male_single,none,4,agreement,38,bank,own,2,unskilled,1,no,no,1
medium,36,critical,old_car,5800,low,four,3,male_single,none,4,other,34,none,own,2,skilled,1,yes,yes,1
no_acc,18,critical,television,1169,no_acc,four,4,male_single,none,3,agreement,29,none,own,2,skilled,1,yes,yes,1
no_acc,36,delay,old_car,8947,no_acc,seven,3,male_single,none,2,other,31,stores,own,1,management,2,yes,yes,1
low,21,existing_paid,television,2606,low,one,4,female_divorced_married,none,4,agreement,28,none,rent,1,management,1,yes,yes,1
no_acc,12,critical,furniture,1592,gold,seven,3,female_divorced_married,none,2,agreement,35,none,own,1,skilled,1,no,no,1
no_acc,15,existing_paid,furniture,2186,no_acc,seven,1,female_divorced_married,none,4,real_estate,33,bank,rent,1,unskilled,1,no,yes,1
low,18,existing_paid,furniture,4153,low,four,2,male_single,co-applicant,3,other,42,none,own,1,skilled,1,no,yes,2
low,16,critical,new_car,2625,low,seven+,2,male_single,guarantor,4,agreement,43,bank,rent,1,skilled,1,yes,yes,2
no_acc,20,critical,new_car,3485,no_acc,one,2,male_divorced,none,4,real_estate,44,none,own,2,skilled,1,yes,yes,1
no_acc,36,critical,old_car,10477,no_acc,seven+,2,male_single,none,4,no_property,42,none,for free,2,skilled,1,no,yes,1
no_acc,15,existing_paid,television,1386,no_acc,four,4,male_married,none,2,real_estate,40,none,rent,1,skilled,1,yes,yes,1
no_acc,24,existing_paid,television,1278,low,seven+,4,male_single,none,1,real_estate,36,none,own,1,management,1,yes,yes,1
low,12,existing_paid,television,1107,low,four,2,male_single,none,2,real_estate,20,none,rent,1,management,2,yes,yes,1
low,21,existing_paid,new_car,3763,no_acc,seven,2,male_single,co-applicant,2,real_estate,24,none,own,1,unskilled,1,no,no,1
medium,36,existing_paid,education,3711,no_acc,four,2,male_married,none,2,other,27,none,own,1,skilled,1,no,yes,1
no_acc,15,delay,old_car,3594,low,one,1,female_divorced_married,none,2,agreement,46,none,own,2,unskilled,1,no,yes,1
medium,9,existing_paid,new_car,3195,no_acc,four,1,female_divorced_married,none,2,real_estate,33,none,own,1,unskilled,1,no,yes,1
no_acc,36,delay,television,4454,low,four,4,female_divorced_married,none,4,real_estate,34,none,own,2,skilled,1,no,yes,1
medium,24,critical,furniture,4736,low,one,2,female_divorced_married,none,4,other,25,bank,own,1,unskilled,1,no,yes,2
medium,30,existing_paid,television,2991,no_acc,seven+,2,female_divorced_married,none,4,other,25,none,own,1,skilled,1,no,yes,1
no_acc,11,existing_paid,business,2142,gold,seven+,1,male_divorced,none,2,real_estate,28,none,own,1,skilled,1,yes,yes,1
low,24,paid,business,3161,low,four,4,male_single,none,2,agreement,31,none,rent,1,skilled,1,yes,yes,2
medium,48,no_credit,others,18424,low,four,1,female_divorced_married,none,2,agreement,32,bank,own,1,management,1,yes,no,2
no_acc,10,existing_paid,old_car,2848,medium,four,1,male_single,co-applicant,2,real_estate,32,none,own,1,skilled,2,no,yes,1
low,6,existing_paid,new_car,14896,low,seven+,1,male_single,none,4,no_property,68,bank,own,1,management,1,yes,yes,2
low,24,existing_paid,furniture,2359,medium,unemployed,1,male_divorced,none,1,agreement,33,none,own,1,skilled,1,no,yes,2
low,24,existing_paid,furniture,3345,low,seven+,4,male_single,none,2,agreement,39,none,rent,1,management,1,yes,yes,2
no_acc,18,critical,furniture,1817,low,four,4,female_divorced_married,none,2,no_property,28,none,own,2,skilled,1,no,yes,1
no_acc,48,delay,television,12749,silver,seven,4,male_single,none,1,other,37,none,own,1,management,1,yes,yes,1
low,9,existing_paid,television,1366,low,one,3,female_divorced_married,none,4,agreement,22,none,rent,1,skilled,1,no,yes,2
medium,12,existing_paid,new_car,2002,low,seven,3,male_single,none,4,agreement,30,none,rent,1,skilled,2,yes,yes,1
low,24,paid,furniture,6872,low,one,2,male_divorced,none,1,agreement,55,bank,own,1,skilled,1,yes,yes,2
low,12,paid,new_car,697,low,one,4,male_single,none,2,other,46,bank,own,2,skilled,1,yes,yes,2
low,18,critical,furniture,1049,low,one,4,female_divorced_married,none,4,agreement,21,none,rent,1,skilled,1,no,yes,1
low,48,existing_paid,old_car,10297,low,seven,4,male_single,none,4,no_property,39,stores,for free,3,skilled,2,yes,yes,2
no_acc,30,existing_paid,television,1867,no_acc,seven+,4,male_single,none,4,other,58,none,own,1,skilled,1,yes,yes,1
low,12,delay,new_car,1344,low,four,4,male_single,none,2,real_estate,43,none,own,2,unskilled,2,no,yes,1
low,24,existing_paid,furniture,1747,low,one,4,male_single,co-applicant,1,agreement,24,none,own,1,unskilled,1,no,no,1
medium,9,existing_paid,television,1670,low,one,4,female_divorced_married,none,2,other,22,none,own,1,skilled,1,yes,yes,2
no_acc,9,critical,new_car,1224,low,four,3,male_single,none,1,real_estate,30,none,own,2,skilled,1,no,yes,1
no_acc,12,critical,television,522,silver,seven+,4,male_single,none,4,agreement,42,none,own,2,skilled,2,yes,yes,1
low,12,existing_paid,television,1498,low,four,4,female_divorced_married,none,1,other,23,bank,own,1,skilled,1,no,yes,1
medium,30,delay,television,1919,medium,one,4,male_single,none,3,no_property,30,stores,own,2,management,1,no,yes,2
high,9,existing_paid,television,745,low,four,3,female_divorced_married,none,2,real_estate,28,none,own,1,unskilled,1,no,yes,2
medium,6,existing_paid,television,2063,low,one,4,male_married,none,3,other,30,none,rent,1,management,1,yes,yes,1
medium,60,existing_paid,education,6288,low,four,4,male_single,none,4,no_property,42,none,for free,1,skilled,1,no,yes,2
no_acc,24,critical,old_car,6842,no_acc,four,2,male_single,none,4,agreement,46,none,own,2,management,2,yes,yes,1
no_acc,12,existing_paid,new_car,3527,no_acc,one,2,male_single,none,3,agreement,45,none,own,1,management,2,yes,yes,1
no_acc,10,existing_paid,new_car,1546,low,four,3,male_single,none,2,real_estate,31,none,own,1,unskilled,2,no,no,1
